"File Path","Handler Name","HTTP Method","Uses handleform()","CSRF Protection","Data Modified","Lines of Interest","Priority"
"/engine/php/html/login.php","validate()","POST","YES","YES","Updates engine.__member (lastlogin, lastloginfrom)","139","HIGH"
"/engine/php/html/join.php","insert()","POST","YES","YES","Creates engine.__member record, sets password","96, 38","HIGH"
"/engine/php/html/member.php","edit()","POST","YES","YES","Updates engine.__member, sets flags","304, 412","HIGH"
"/engine/php/html/member.php","update()","POST","YES","YES","Updates engine.__member, modifies flags","304, 412","HIGH"
"/engine/php/html/member.php","delete()","GET/POST","NO","NO - VULNERABLE","Deletes from member table","468, 469","CRITICAL"
"/engine/php/html/notify.php","delete()","POST/GET","NO","NO - VULNERABLE","Deletes from __notify table","145-177, 169","CRITICAL"
"/engine/php/html/notify.php","markread()","POST","NO","NO - VULNERABLE","Updates __notify table (read flag)","130-142, 135","CRITICAL"
"/engine/php/html/logout.php","main()","GET/POST","NO","N/A","Clears session, regenerates ID","15-26","MEDIUM"
"/engine/php/html/flag.php","insert()","POST","YES","YES","Creates flag record in engine.flag","63, 100","MEDIUM"
"/engine/php/html/mantra.php","insert()/update()","POST","YES","YES (disabled)","Would insert/update mantra content","233-370 (commented)","LOW"
"/www/php/gfile.php","add/insert()","POST","NO","NO - VULNERABLE","Creates www.gfile record","251-289, 315","CRITICAL"
"/www/php/gfile.php","edit/update()","POST","NO","NO - VULNERABLE","Updates www.gfile record","327-414, 404","CRITICAL"
"/www/php/gfile.php","delete()","POST/GET","NO","NO - VULNERABLE","Deletes www.gfile record","416-477, 460","CRITICAL"
"/www/php/login.php","validate()","POST","YES","YES","Updates engine.__member (lastlogin, lastloginfrom)","153, 92","HIGH"
"engine/js/js/ping.js","(POST handler missing)","POST","N/A","UNKNOWN","Sends timezone data to /ping endpoint","5, 21","MEDIUM"
